Image Name,Image File Size,Compression Time,Compression Ratio,CQ_Algorithm,Max number of colors,Number of unique colors
ba74d1b6691628bb51709fed7e4929.jpeg,50487,-1.0,1.0,,-1,55491
ba74d1b6691628bb51709fed7e4929.jpeg,61444,1.1364989280700684,0.8216750211574767,Simple Color Reduction,64,33
ba74d1b6691628bb51709fed7e4929.jpeg,149758,26.63798499107361,0.3371238932143858,Image Dithering,64,46
ba74d1b6691628bb51709fed7e4929.jpeg,51130,17.182878017425537,0.9874242127909252,Median Cut,64,64
ba74d1b6691628bb51709fed7e4929.jpeg,41924,0.2578887939453125,1.2042505486117736,Octree,64,4
ba74d1b6691628bb51709fed7e4929.jpeg,54167,0.4627997875213623,0.932061956541806,Simple Color Reduction,512,151
ba74d1b6691628bb51709fed7e4929.jpeg,90812,56.62949705123901,0.5559507554067744,Image Dithering,512,190
ba74d1b6691628bb51709fed7e4929.jpeg,51161,69.1113531589508,0.9868259025429528,Median Cut,512,68
ba74d1b6691628bb51709fed7e4929.jpeg,45977,0.168978214263916,1.0980925245231312,Octree,512,8
ba74d1b6691628bb51709fed7e4929.jpeg,48987,0.3527162075042724,1.0306203686692388,Simple Color Reduction,4096,815
ba74d1b6691628bb51709fed7e4929.jpeg,54083,39.93806290626526,0.933509605606198,Image Dithering,4096,921
ba74d1b6691628bb51709fed7e4929.jpeg,51152,153.46344304084778,0.9869995308101344,Median Cut,4096,68
ba74d1b6691628bb51709fed7e4929.jpeg,48719,0.6385037899017334,1.0362897432213305,Octree,4096,16
ba74d1b6691628bb51709fed7e4929.jpeg,49476,0.0135149955749511,1.0204341498908562,Simple Color Reduction,32768,4135
ba74d1b6691628bb51709fed7e4929.jpeg,49192,57.93880605697632,1.0263254187672792,Image Dithering,32768,4381
ba74d1b6691628bb51709fed7e4929.jpeg,51179,126.69584274291992,0.986478829207292,Median Cut,32768,68
ba74d1b6691628bb51709fed7e4929.jpeg,49393,0.4208450317382812,1.022148887494179,Octree,32768,32
ba74d1b6691628bb51709fed7e4929.jpeg,49773,0.3961141109466553,1.014345126876017,Simple Color Reduction,262144,15450
ba74d1b6691628bb51709fed7e4929.jpeg,49754,46.20960712432861,1.0147324838203964,Image Dithering,262144,16298
ba74d1b6691628bb51709fed7e4929.jpeg,51179,184.9239501953125,0.986478829207292,Median Cut,262144,69
ba74d1b6691628bb51709fed7e4929.jpeg,49093,0.1833419799804687,1.0283950868759293,Octree,262144,64
ba74d1b6691628bb51709fed7e4929.jpeg,50112,0.1002247333526611,1.0074832375478928,Simple Color Reduction,2097152,41328
ba74d1b6691628bb51709fed7e4929.jpeg,50060,40.18077111244202,1.0085297642828606,Image Dithering,2097152,44637
ba74d1b6691628bb51709fed7e4929.jpeg,51179,257.07885098457336,0.986478829207292,Median Cut,2097152,69
ba74d1b6691628bb51709fed7e4929.jpeg,48814,0.4637870788574219,1.034272954480272,Octree,2097152,128
ba74d1b6691628bb51709fed7e4929.jpeg,102956,0.4680600166320801,0.4903745289249777,medianCut + WebP-100,2097152,34112
ba74d1b6691628bb51709fed7e4929.jpeg,245322,0.4724209308624267,0.2057989091887397,medianCut + WebP-lossless,2097152,43546
ba74d1b6691628bb51709fed7e4929.jpeg,318622,1.0700953006744385,0.1584542184783222,dither + WebP-100,64,70392
ba74d1b6691628bb51709fed7e4929.jpeg,634490,0.8722748756408691,0.0795709940266986,dither + WebP-lossless,64,88510
ba74d1b6691628bb51709fed7e4929.jpeg,102954,0.5987589359283447,0.490384055014861,medianCut + WebP-100,4096,34109
ba74d1b6691628bb51709fed7e4929.jpeg,245334,0.6566939353942871,0.2057888429651006,medianCut + WebP-lossless,4096,43546
ba74d1b6691628bb51709fed7e4929.jpeg,96542,0.1674659252166748,0.5229537403409915,reduce + WebP-100,262144,49831
ba74d1b6691628bb51709fed7e4929.jpeg,224566,0.556926965713501,0.2248203200840732,reduce + WebP-lossless,262144,59700
ba74d1b6691628bb51709fed7e4929.jpeg,96014,0.4993610382080078,0.5258295665215489,Octree + WebP-100,32768,26966
ba74d1b6691628bb51709fed7e4929.jpeg,226268,0.8708868026733398,0.2231292096098432,Octree + WebP-lossless,32768,34734
ba74d1b6691628bb51709fed7e4929.jpeg,102956,0.4552071094512939,0.4903745289249777,medianCut + WebP-100,262144,34112
ba74d1b6691628bb51709fed7e4929.jpeg,245322,0.4860572814941406,0.2057989091887397,medianCut + WebP-lossless,262144,43546
ba74d1b6691628bb51709fed7e4929.jpeg,109438,0.3930540084838867,0.4613297026626948,reduce + WebP-100,512,62643
ba74d1b6691628bb51709fed7e4929.jpeg,308542,0.6927452087402344,0.1636308833157236,reduce + WebP-lossless,512,76667
