Image Name,Image File Size,Compression Time,Compression Ratio,CQ_Algorithm,Max number of colors,Number of unique colors
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,895352,-1.0,1.0,,-1,793510
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1164558,4.768054008483887,0.7688341842999662,Simple Color Reduction,64,53
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1939232,1027.1220817565918,0.4617044273196812,Image Dithering,64,61
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1008306,15.4758141040802,0.8879764674612667,Median Cut,64,64
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,884769,0.4940862655639648,1.0119613141961348,Octree,64,4
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1016672,0.1855051517486572,0.8806694784551949,Simple Color Reduction,512,380
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1319883,988.2986750602722,0.6783570968032773,Image Dithering,512,413
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1008462,31.64626288414001,0.8878391054893491,Median Cut,512,90
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,990021,0.4998159408569336,0.9043767758461688,Octree,512,8
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,948957,0.1672561168670654,0.9435116659658972,Simple Color Reduction,4096,2774
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,974942,858.3522627353668,0.9183643744961238,Image Dithering,4096,2839
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1008543,161.8324739933014,0.8877677996872716,Median Cut,4096,96
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,961453,0.4764389991760254,0.9312488493977344,Octree,4096,16
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,917473,0.1405029296875,0.9758892087287584,Simple Color Reduction,32768,19398
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,911061,1177.2156538963318,0.9827574662947924,Image Dithering,32768,19656
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1008509,666.9843871593475,0.8877977291228933,Median Cut,32768,105
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,955259,0.4328060150146484,0.9372871650515724,Octree,32768,32
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,902439,0.1026678085327148,0.9921468376255902,Simple Color Reduction,262144,118179
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,898938,754.524838924408,0.9960108483566164,Image Dithering,262144,119159
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1008393,1069.1368281841278,0.8878998565043589,Median Cut,262144,110
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,957293,0.4170730113983154,0.9352956722758864,Octree,262144,64
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,897549,0.3765110969543457,0.9975522227755812,Simple Color Reduction,2097152,509451
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,896182,1227.0298600196838,0.9990738488387404,Image Dithering,2097152,521328
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1008512,1183.368038892746,0.8877950882091636,Median Cut,2097152,121
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,938379,0.5121769905090332,0.954147524614255,Octree,2097152,128
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2224594,0.8874661922454834,0.4024788343401088,medianCut + WebP-100,2097152,358111
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5832696,2.548167943954468,0.1535056858783657,medianCut + WebP-lossless,2097152,478262
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1961842,1.0548641681671145,0.4563833376999778,reduce + WebP-100,2097152,629348
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5246354,3.0814170837402344,0.1706617586232267,reduce + WebP-lossless,2097152,809909
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1968308,2.1291017532348637,0.454884093343115,dither + WebP-100,262144,628822
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5253168,3.0185189247131348,0.1704403894944917,dither + WebP-lossless,262144,809398
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2058980,2.2351248264312744,0.4348522083750206,Octree + WebP-100,32768,218901
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5315142,3.1816000938415527,0.168453072373231,Octree + WebP-lossless,32768,300282
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,4148686,4.180919170379639,0.2158158028831297,dither + WebP-100,64,701946
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,9752204,3.462600946426392,0.0918102205409156,dither + WebP-lossless,64,905712
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2244522,2.708678960800171,0.3989054239610928,reduce + WebP-100,512,636792
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,6043274,2.9891841411590576,0.1481567772700691,reduce + WebP-lossless,512,810514
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,3174802,3.6719160079956055,0.2820182171990568,dither + WebP-100,512,674752
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,7596710,3.37026309967041,0.1178604948721222,dither + WebP-lossless,512,864739
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1959658,2.0118141174316406,0.456891967884192,dither + WebP-100,2097152,627529
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5230734,2.799934864044189,0.1711713881837616,dither + WebP-lossless,2097152,807761
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2041144,0.6214969158172607,0.4386520500268477,Octree + WebP-100,4096,124679
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5103522,2.249399185180664,0.1754380602258597,Octree + WebP-lossless,4096,184089
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2224360,0.6551470756530762,0.4025211746300059,medianCut + WebP-100,512,357992
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5831052,3.12611985206604,0.1535489650924053,medianCut + WebP-lossless,512,478461
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2020902,2.948327779769897,0.4430457290853292,reduce + WebP-100,32768,631953
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5414118,2.9097750186920166,0.1653735659252347,reduce + WebP-lossless,32768,814752
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1977114,2.911083936691284,0.4528580547201628,reduce + WebP-100,262144,629306
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5283610,3.2193191051483154,0.1694583816746504,reduce + WebP-lossless,262144,809450
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2224420,3.319206953048706,0.4025103172961941,medianCut + WebP-100,4096,357990
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5832172,3.0808911323547363,0.1535194778206129,medianCut + WebP-lossless,4096,478247
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2026918,3.1181318759918213,0.4417307458910523,Octree + WebP-100,512,84445
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,4877294,2.46318793296814,0.1835755646471178,Octree + WebP-lossless,512,132299
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,1957432,2.378024816513061,0.4574115473743149,original + WebP-100,original,629050
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,5229846,3.2205309867858887,0.1712004521739263,original + WebP-lossless,original,808599
a8a5f86a5defa94f4b4debfccfc0e0.jpeg,2478074,2.719817876815796,0.3613096299787657,reduce + WebP-100,64,576765
