Image Name,Image File Size,Compression Time,Compression Ratio,CQ_Algorithm,Max number of colors,Number of unique colors
1a30eb98f448b5a4748cca025142cd.jpeg,36262,-1.0,1.0,,-1,84580
1a30eb98f448b5a4748cca025142cd.jpeg,9608,0.0469861030578613,3.774146544546212,original + WebP-10,original,78488
1a30eb98f448b5a4748cca025142cd.jpeg,12744,0.7280688285827637,2.845417451349655,original + WebP-25,original,76803
1a30eb98f448b5a4748cca025142cd.jpeg,18392,0.0984909534454345,1.9716180948238364,original + WebP-50,original,76657
1a30eb98f448b5a4748cca025142cd.jpeg,23654,0.7232489585876465,1.5330176714297794,original + WebP-75,original,75697
1a30eb98f448b5a4748cca025142cd.jpeg,193998,0.2261581420898437,0.1869194527778636,original + WebP-lossless,original,83535
1a30eb98f448b5a4748cca025142cd.jpeg,4130,0.3288819789886474,8.780145278450362,original + AVIF-10,original,82947
1a30eb98f448b5a4748cca025142cd.jpeg,6647,0.1547677516937255,5.455393410561156,original + AVIF-25,original,77895
1a30eb98f448b5a4748cca025142cd.jpeg,17211,0.2824189662933349,2.1069083725524376,original + AVIF-50,original,78535
1a30eb98f448b5a4748cca025142cd.jpeg,32621,0.1697268486022949,1.1116152171913798,original + AVIF-75,original,81362
1a30eb98f448b5a4748cca025142cd.jpeg,32621,1.3864591121673584,1.1116152171913798,original + AVIF-lossless,original,81362
7313ead43265bbf6fe06c640e79df6.jpeg,32351,-1.0,1.0,,-1,65238
7313ead43265bbf6fe06c640e79df6.jpeg,7024,0.1475310325622558,4.605780182232346,original + WebP-10,original,56003
7313ead43265bbf6fe06c640e79df6.jpeg,9842,0.9082531929016112,3.2870351554562083,original + WebP-25,original,55141
7313ead43265bbf6fe06c640e79df6.jpeg,14240,3.1478829383850098,2.271839887640449,original + WebP-50,original,56065
7313ead43265bbf6fe06c640e79df6.jpeg,19304,1.6585710048675537,1.6758702859510983,original + WebP-75,original,57003
7313ead43265bbf6fe06c640e79df6.jpeg,185396,0.3319599628448486,0.1744967528965026,original + WebP-lossless,original,71156
