,10,25,50,75,lossless
min,2.055374592833876,2.055374592833876,1.2560487902419517,0.835416943742519,0.835416943742519
1st quantile,7.891732208580205,4.9018598239354505,1.756386463112687,1.014670063675049,1.014670063675049
mean,11.527372855526604,7.297379802351737,2.4074913127694053,1.1773663652764492,1.1773663652764492
median,10.310478654592496,6.338525835866261,2.049940671459482,1.075901559454191,1.075901559454191
3rd quantile,13.210345333945249,8.071895899016045,2.5047257699647307,1.188522619749322,1.188522619749322
max,206.46902654867256,185.227919285478,21.11482720178372,15.836120401337793,15.836120401337793
