,10,25,50,75,lossless
min,2.080655846306724,1.5855366946425191,1.195561765757652,0.9687228357103764,0.1038546305042054
1st quantile,3.677802091494369,2.5622882884317306,1.7652115107030295,1.3589445421249593,0.18580051369423567
mean,4.483679619529877,3.2222473785239023,2.2319842787268755,1.7118312777568045,0.3394013793949672
median,4.208563535911602,2.993528671580082,2.0217640320733103,1.5241618846270009,0.2086111111111111
3rd quantile,4.848757165076453,3.4724614884801275,2.359419525065963,1.7778278679400699,0.247745571482752
max,18.990164823984266,14.340909090909092,14.340909090909092,14.340909090909092,25.388739946380696
