,10,25,50,75,lossless
min,51.34706814580031,51.34706814580031,20.38525829817719,-19.70070842951523,-19.70070842951523
1st quantile,87.32851073034688,79.59957983463607,43.0649221568362,1.4457964416448021,1.4457964416448021
mean,91.32499648850548,86.2964512320199,58.46298615093769,15.064670650312237,15.064670650312237
median,90.30112923462985,84.22346100821196,51.21810041028959,7.054693692673524,7.054693692673524
3rd quantile,92.43017517921803,87.61133676015447,60.075469658537465,15.861929475863434,15.861929475863434
max,99.51566585229952,99.46012458388697,95.26399155227033,93.68532206969377,93.68532206969377
