Image Name,Original Size (Bytes),New Size (Bytes),Compression Percentage
80c544983e2c3db5eaffd72079f945.jpeg,124192,5680,95.4264364854419
50d1fd022e4928615bfa8943a5b8d7.jpeg,40618,2782,93.15081983357132
bd99ba38d75081d85367c47fdba56e.jpeg,377067,4328,98.85219337677388
f814798aaef4f04607a114ba212bb4.jpeg,241868,9910,95.90272379975855
83f01001618babeffb57e4bb064163.jpeg,34005,5173,84.78753124540509
63c08b90ceb6aedfcb8a668e98a72a.jpeg,90678,5866,93.53095568936236
18d7dd09d1801e5b89517f4f271c64.jpeg,40574,5457,86.55050032040224
c560cd37250d74a43fa77a2a0dfd7c.jpeg,47285,7118,84.94660040181876
9993416e4c841deb4a001833c7514b.jpeg,5389,2981,44.68361477082947
20c9b094462f344e9dfaf3abffae4e.jpeg,32176,7472,76.77772252610642
ff916057694a62ff073630a357230a.jpeg,198793,9711,95.11501914051298
37ea516bc71ff311b0c49bdeb72be5.jpeg,23006,4981,78.34912631487438
e55698d40bbe9a16d123ec63e653aa.jpeg,99364,6502,93.45638259329334
27b4304ac341cb673ad64a5dcb42c9.jpeg,38908,6521,83.23995065282203
f4f394534cc157e2eee8f16ae0cd35.jpeg,31570,6955,77.96959138422554
e3a1aa9d7cf9d7320742cd0acc6327.jpeg,31090,9952,67.98970730138308
b027cc8c625b7fe216f3b546b97025.jpeg,22096,6950,68.54634322954381
68fee696b0b884b8df18c4a73a9fb2.jpeg,473935,6995,98.52405920643126
b28e5b03dc17d65ac061cf429509c2.jpeg,65416,5070,92.24960254372019
429a928caa7ecadff588be44e78e01.jpeg,35988,7511,79.12915416249862
439e965b7c04257dc50a5774634bfb.jpeg,57878,9987,82.74473893361899
fd962f711c77474854970fc9ab4e62.jpeg,17743,4127,76.74012286535536
f06e9720329ca9395ebb05cc9fcd36.jpeg,17421,6195,64.43946960564834
b0e1cc46dddb26c5751f4f86bc53ef.jpeg,32695,4701,85.62165468726106
d6b037a32d7f7f3b50a879c4db444c.jpeg,67978,5239,92.29309482479626
e289398c04f13a6830d8b3aa818458.jpeg,111344,8337,92.51239402212961
a62930c90c1df8e2084b4f53e670f2.jpeg,20542,4773,76.76467724661669
53699ec25e7c99765ffe4a078f3512.jpeg,56480,7152,87.3371104815864
a3b480c2a5f29cecb3d48a2cf7064a.jpeg,28561,7653,73.20471972269878
022a8b92f9eaf36f530596b4a6916b.jpeg,36682,7006,80.90071424676954
fee2689ec16a1cff895c0f9c8160bd.jpeg,13451,3572,73.4443535796595
1b27c9b71d0a57ef6fa76ce1853c5d.jpeg,29675,4394,85.19292333614153
a4d79dd2549fc0468343a9679cb159.jpeg,122077,6008,95.07851601857844
889dcdecb0763726429da880a785b6.jpeg,52043,7606,85.38516226966163
44e6d82a902ef9b9068197654d4425.jpeg,12571,4864,61.30777185585872
d8fb12b409355120f2299e0e365c42.jpeg,53432,4259,92.02912112591706
3c68880e666c18bc4fe3c62f3459dc.jpeg,77419,7308,90.56045673542671
43b93caf91b468bf7e3f278e6ef294.jpeg,21909,7129,67.46086083344744
35165a16f181df6eb0a60cfa769e6e.jpeg,13292,3734,71.90791453505868
db63cdbe48ac16378de4ab2cf29bf1.jpeg,30334,5682,81.26854354849344
15c175cf732267747000c93bcc0c4c.jpeg,82021,5814,92.91157142682971
ad4d9a502b4b149de12df95fe2bdd0.jpeg,4219,1972,53.259066129414556
f4bcb187327f4a4f4402209fcc210f.jpeg,17805,4401,75.28222409435553
73942094eb2f497d9882114e35dde0.jpeg,36549,5860,83.96672959588498
f68806e5004d9ae56c7fdb4759e69a.jpeg,32645,6675,79.55276458875785
caf0227ea6bf486da620f04c0903ed.jpeg,13983,3213,77.0220982621755
6d9e0e158defef1cebc4e0db93417b.jpeg,26381,16868,36.060043212918394
ff88f06196ce869b0fcf65fe85cbd8.jpeg,274176,3804,98.6125700280112
e221fa46873999d2bc9363d19df18f.jpeg,69086,7343,89.37121848131314
e077b62d8209a4589a23541b73bd67.jpeg,22849,4972,78.239747910193
78ce68e125805ace2d078b8eeb4e5a.jpeg,67976,7023,89.6684123808403
da5a028e4eaf9031cef42b1b52b86c.jpeg,55534,8041,85.5205819858105
881a756c193d263cbd58d6eb3c6686.jpeg,469051,6880,98.53320854235467
a3e77bbdea137366a8898eac69d23e.jpeg,24427,6484,73.45560240717239
80a98994ee8d5055f3d466e4a185eb.jpeg,127855,5410,95.76864416722069
6f78fb259697b66b50dbd752dfc282.jpeg,92812,24268,73.8525190708098
5293c7e723a19ba7db1c61ac5d7cec.jpeg,269659,9863,96.34241764598993
82e898e05d711a77257637345a0350.jpeg,103903,8371,91.94344725368853
d368e6132aecc8666b0e2051ddcbd6.jpeg,83537,7850,90.60296635024001
a95f66584f94559224ddaa397228e6.jpeg,114217,3644,96.80958176103383
6445f1fbe7960e095b888930ca12e0.jpeg,144140,6813,95.27334535867907
75e9b4cc69734e904af1a4cdd07174.jpeg,86040,4802,94.4188749418875
6349f67b357e49c825d5e06209af24.jpeg,71033,5637,92.06425182661579
20ccded8c43900cd1cd39aeea7748c.jpeg,32867,5767,82.45352481212159
25752d68b6d22969c9d69190748e51.jpeg,109864,7690,93.00043690380835
621eac2b1d78ba33d98ef357f07940.jpeg,10116,2840,71.92566231712138
2c788780c19bb55689cb999683cb81.jpeg,89664,3505,96.09096181299071
36416abd01492f0bcbf56895a80837.jpeg,79980,5922,92.59564891222806
f47df376e8994434f9f40b7da833f0.jpeg,6067,4481,26.14142080105488
3b69169daff7b8485197ba637a7db4.jpeg,41686,5786,86.1200403013002
64414620904181b4a70918efa4ed23.jpeg,24910,5257,78.89602569249298
f74aeec39fda50a80cbc79d7d1a14b.jpeg,25866,3543,86.30248202273253
940c44738b10cb3672992b5fb36b8e.jpeg,41466,5992,85.54960690686345
442414a095ef1fd6baea50b8f7226e.jpeg,4847,2126,56.13781720651949
ef7292716a4cf7d49cd6ba32b86623.jpeg,21767,5659,74.00192952634723
70846cfd2f9263f80be449b3eaa317.jpeg,40403,7096,82.4369477514046
c0ef11c67a6ed923f6705d62dcdd5f.jpeg,62554,2516,95.97787511589986
f56f8880652265a13a7b55ad922ff3.jpeg,8276,4738,42.750120831319485
69f73dadba510fc4f72a76ff66f279.jpg,95796,5010,94.7701365401478
5e2a5303f2ba983f8b5d291ded4e28.jpeg,88264,14074,84.0546542191607
58ab1f2018711328d796a37c4f8f34.jpeg,22120,3745,83.06962025316456
65976afc610882867a309a57ee4f53.jpeg,314167,8927,97.15851760369485
d0ecb7ca2675ec96f67f9771420061.jpeg,19831,7626,61.545055720841106
d19a95075bdfe52711bfb48972b835.jpeg,18639,6382,65.75996566339396
7c0d38f29a165c506bdebb9699cf44.jpeg,14537,14528,0.061910985760471604
f2a1a32b1e32e547a17b1400d0cd7c.jpeg,43813,5937,86.44922739826079
b1d7cecbb0ad1ee3781aae955f9509.jpeg,123274,6856,94.43840550318802
fd592e19636c166904884964b7ec09.jpeg,108324,5665,94.7703186736088
afd27eff8de91086a188319395860e.jpeg,188032,8888,95.27314499659633
4d84c11cfb8706fbc1b85516677bba.jpeg,62653,20485,67.30403971078799
5a37960bc933705e803473b833fd51.jpeg,39734,8369,78.93743393567222
b124665492806bbfa005205a8191db.jpeg,6823,2441,64.22394840979042
263d96713debb195b6aa15e954db84.jpeg,25358,4120,83.75266188185189
ed529d8287272d54ea3061a9ec992b.jpeg,22846,5659,75.22979952726955
5226b26ba32aab46b1be0d67d3feef.jpeg,28892,3963,86.28340024920394
47c31a728a9b485197d7100bd6e4f3.jpeg,266063,4351,98.36467302856842
f1487d8d894ec9c4adbe33deb0cf00.jpeg,272802,6674,97.55353699752935
a72191d2a37c8e77c4a2390d5dc9d9.jpeg,56183,3982,92.91244682555221
988793b8b0ca2d0344618cf7d415fe.jpeg,40173,5240,86.95641351156249
ea5413041e3e4b2391836892a111d5.jpeg,26745,6423,75.98429613011778
d6ea71f4b1552b11bec84f80b174ca.jpeg,135765,13420,90.1152727138806
195e54b9871f50f3d33a4b759ffecb.jpeg,40728,16600,59.24179925358476
7a0abbf126262c185bc68c94dbe308.jpeg,24546,16668,32.09484233683696
28813e80f78bb95c8d84d9d71922de.jpeg,13345,6787,49.14200074934433
6ee6dd88b50f7fa58b2f483afa3144.jpeg,25159,14277,43.25291148296833
d8be71ead8ccbe283d18b94fd8c1e0.jpeg,24900,3693,85.16867469879517
d108c72d322c354398f438899498a6.jpeg,51447,6057,88.22671875911132
074b5bccbdf33a87ed775f4377bcca.jpeg,99992,4304,95.69565565245219
f9c19eabb4f9806407918f2eefe6e1.jpeg,36918,10698,71.02226556151471
9027fbf3a7e5561f0180ae25533ea6.jpeg,25430,4846,80.94376720408965
d2a1d3d68da7122ec77385e4531672.jpeg,39223,6635,83.08390485174515
75b2cc9d874e8da72655ab1234d728.jpeg,7471,2486,66.72466871904699
8cbbacdae804a52fff39af84ecfe55.jpeg,628352,24270,96.1375152780607
7d3a5fd384330447752e0b8c5857cf.jpeg,26534,15970,39.81307002336625
f107bbb01c5f293de587a3676232fc.jpeg,147628,7845,94.68596743165253
e95d413d19bdb688be1d804fc5c11b.jpeg,91859,6961,92.42208166864434
e449ed2612709c57235f1e41868d6f.jpeg,53400,6037,88.69475655430712
ab314539ce8c106ad9da130d8ee42f.jpeg,4426,3000,32.218707636692265
48f29a751e344c31ba330973f73a08.jpeg,34619,4853,85.98168635720269
40593a22138150c8f5a8bc883d741e.jpeg,103878,5303,94.89497294903637
091f0b20e2d05e9a889e790a733a40.jpeg,22155,5192,76.56510945610472
f1df1c0a66384d9aee63b7fc44f271.jpeg,1369049,9931,99.27460594909313
